-25.  32.6885872
-30.  32.6894836
-37.  32.6895180
-45.  32.6910706
-60.  32.6900368
-80.  32.6932373
-100.  32.7081337
-120.  32.7230301
-150.  33.4892387
-200.  33.7344131
2012/03/16 12:00:00  14 2
 0.  32.7016449
-10.  32.7020462
-14.  32.7022067
-20.  32.7024475
-25.  32.7026482
-30.  32.7037773
-37.  32.7037468
-45.  32.7048683
-60.  32.7041359
-80.  32.7079048
-100.  32.7176495
-120.  32.7273941
-150.  33.4864540
-200.  33.7384834
2012/04/16 12:00:00  14 2
 0.  32.7101059
-10.  32.7110245
-14.  32.7113919
-20.  32.7119431
-25.  32.7124023
-30.  32.7139320
-37.  32.7144966
-45.  32.7150345
-60.  32.7144966
-80.  32.7190666
-100.  32.7910671
-120.  32.8630676
-150.  33.6008377
-200.  33.7433319
2012/05/16 12:00:00  14 2
 0.  32.6996460
-10.  32.7003815
-14.  32.7006757
-20.  32.7011169
-25.  32.7014847
-30.  32.7032280
-37.  32.7031975
-45.  32.7042542
-60.  32.7080002
-80.  32.7205467
-100.  32.8780956
-120.  33.0356445
-150.  33.6298370
-200.  33.7494888
2012/06/16 12:00:00  14 2
 0.  32.6784325
-10.  32.6670990
-14.  32.6652756
-20.  32.6625404
-25.  32.6706963
-30.  32.6725349
-37.  32.6727676
-45.  32.6892014
-60.  32.7153358
-80.  32.7266655
-100.  32.7734261
-120.  33.1523972
-150.  33.6475945
-200.  33.7546959
2012/07/16 12:00:00  14 2
 0.  32.6377716
-10.  32.6316185
-14.  32.6298210
-20.  32.6271248
-25.  32.6293564
-30.  32.6306114
-37.  32.6454163
-45.  32.6687737
-60.  32.7054520
-80.  32.7259369
-100.  32.7904167
-120.  33.1937714
-150.  33.6440315
-200.  33.7539024
2012/08/16 12:00:00  14 2
 0.  32.5917740
-10.  32.5871010
-14.  32.5857964
-20.  32.5838394
-25.  32.5854187
-30.  32.5927391
-37.  32.6248665
-45.  32.6601906
-60.  32.6949654
-80.  32.7268105
-100.  32.7960320
-120.  33.1595192
-150.  33.6395531
-200.  33.7534523
2012/09/16 12:00:00  14 2
 0.  32.5453682
-10.  32.5491600
-14.  32.5422005
-20.  32.5317612
-25.  32.5392990
-30.  32.5230293
-37.  32.5400696
-45.  32.6198616
-60.  32.6946335
-80.  32.7298279
-100.  32.7623024
-120.  32.8931999
-150.  33.5344276
-200.  33.7394981
2012/10/16 12:00:00  14 2
 0.  32.4826431
-10.  32.4940605
-14.  32.4869926
-20.  32.4763908
-25.  32.4895134
-30.  32.4917755
-37.  32.4893570
-45.  32.4914513
-60.  32.6558075
-80.  32.7189636
-100.  32.7410622
-120.  32.7965126
-150.  33.3341599
-200.  33.7430611
2012/11/16 12:00:00  14 2
 0.  32.5101967
-10.  32.5130653
-14.  32.5142128
-20.  32.5159340
-25.  32.5260315
-30.  32.5270004
-37.  32.5220299
-45.  32.5239334
-60.  32.5218010
-80.  32.6914330
-100.  32.7303696
-120.  32.8045311
-150.  33.3321686
-200.  33.7410698
2012/12/16 12:00:00  14 2
 0.  32.5580673
-10.  32.5627918
-14.  32.5646816
-20.  32.5675163
-25.  32.5764503
-30.  32.5771637
-37.  32.5720024
-45.  32.5739365
-60.  32.5736122
-80.  32.6339989
-100.  32.6945152
-120.  32.8937454
-150.  33.4564209
-200.  33.7433891
2013/01/16 12:00:00  14 2
 0.  32.6158066
-10.  32.6193867
-14.  32.6208187
-20.  32.6229668
-25.  32.6317101
-30.  32.6329308
-37.  32.6281586
-45.  32.6307716
-60.  32.6321297
-80.  32.6322556
-100.  32.6454163
-120.  32.8199692
-150.  33.4617081
-200.  33.7357407
2013/02/15 12:00:00  14 2
 0.  32.6111755
-10.  32.6161232
-14.  32.6181023
-20.  32.6210709
-25.  32.6286049
-30.  32.6295738
-37.  32.6241760
-45.  32.6266785
-60.  32.6276779
-80.  32.6299973
-100.  32.6591797
-120.  32.9108543
-150.  33.5336418
-200.  33.7491074
2013/03/16 12:00:00  14 2
 0.  32.6304855
-10.  32.6346302
-14.  32.6362881
-20.  32.6387749
-25.  32.6456451
-30.  32.6467438
-37.  32.6412888
-45.  32.6443863
-60.  32.6454506
-80.  32.6467781
-100.  32.6608009
-120.  32.7381935
-150.  33.4841576
-200.  33.7358704
2013/04/16 12:00:00  14 2
 0.  32.5920029
-10.  32.5974007
-14.  32.5995598
-20.  32.6027985
-25.  32.6093636
-30.  32.6103668
-37.  32.6084328
-45.  32.6142311
-60.  32.6218033
-80.  32.6313667
-100.  32.6652336
-120.  32.8027000
-150.  33.4504356
-200.  33.7277336
2013/05/16 12:00:00  14 2
 0.  32.5309639
-10.  32.5380936
-14.  32.5409454
-20.  32.5452232
-25.  32.5505524
-30.  32.5488396
-37.  32.5556755
-45.  32.5828400
-60.  32.6068687
-80.  32.6223602
-100.  32.6595459
-120.  32.7735443
-150.  33.3802910
-200.  33.7253227
2013/06/16 12:00:00  14 2
 0.  32.4997673
-10.  32.5078335
-14.  32.5110600
-20.  32.5158997
-25.  32.5163307
-30.  32.5191612
-37.  32.5188255
-45.  32.5362968
-60.  32.5938683
-80.  32.6216164
-100.  32.6804962
-120.  32.9057388
-150.  33.4797020
-200.  33.7347336
2013/07/16 12:00:00  14 2
 0.  32.4836769
-10.  32.4843254
-14.  32.4872002
-20.  32.4915123
-25.  32.4685211
-30.  32.4882889
-37.  32.5097580
-45.  32.5342941
-60.  32.5956764
-80.  32.6071281
-100.  32.6469002
-120.  32.8637085
-150.  33.4539032
-200.  33.7299042
2013/08/16 12:00:00  14 2
 0.  32.3719025
-10.  32.3775177
-14.  32.3927414
-20.  32.4155769
-25.  32.4118996
-30.  32.4911308
-37.  32.5077916
-45.  32.5268326
-60.  32.5874901
-80.  32.6107101
-100.  32.6632271
-120.  32.8560638
-150.  33.4343910
-200.  33.7294884
2013/09/16 12:00:00  14 2
 0.  32.3586349
-10.  32.3643036
-14.  32.3661026
-20.  32.3688011
-25.  32.3575058
-30.  32.4160347
-37.  32.4501467
-45.  32.4891319
-60.  32.5728951
-80.  32.6212311
-100.  32.6755371
-120.  32.9188309
-150.  33.5389977
-200.  33.7312393
2013/10/16 12:00:00  14 2
 0.  32.4317093
-10.  32.4385834
-14.  32.4382736
-20.  32.4378090
-25.  32.4398994
-30.  32.4410934
-37.  32.4426760
-45.  32.4444847
-60.  32.4589996
-80.  32.6251602
-100.  32.6551933
-120.  32.7978401
-150.  33.3906479
-200.  33.7087746
2013/11/16 12:00:00  14 2
 0.  32.4220657
-10.  32.4253693
-14.  32.4242630
-20.  32.4226036
-25.  32.4244347
-30.  32.4246712
-37.  32.4243116
-45.  32.4239006
-60.  32.4265327
-80.  32.5987625
-100.  32.6512337
-120.  32.7456703
-150.  33.2691383
-200.  33.6731949
2013/12/16 12:00:00  14 2
 0.  32.4570999
-10.  32.4624519
-14.  32.4615883
-20.  32.4602928
-25.  32.4622574
-30.  32.4624863
-37.  32.4620181
-45.  32.4614830
-60.  32.4604836
-80.  32.5070000
-100.  32.6607399
-120.  32.7442589
-150.  33.2291985
-200.  33.6829681
2014/01/16 12:00:00  14 2
 0.  32.4352913
-10.  32.4458694
-14.  32.4453934
-20.  32.4446793
-25.  32.4463501
-30.  32.4467125
-37.  32.4465309
-45.  32.4463234
-60.  32.4454536
-80.  32.4548721
-100.  32.6025162
-120.  32.7816124
-150.  33.2359657
-200.  33.6648331
2014/02/15 12:00:00  14 2
 0.  32.4226799
-10.  32.4350014
-14.  32.4348152
-20.  32.4345360
-25.  32.4351730
-30.  32.4355316
-37.  32.4347519
-45.  32.4338608
-60.  32.4320412
-80.  32.4350014
-100.  32.5542488
-120.  32.7699623
-150.  33.2242508
-200.  33.7114983
2014/03/16 12:00:00  14 2
 0.  32.4319305
-10.  32.4372597
-14.  32.4376976
-20.  32.4383545
-25.  32.4378357
-30.  32.4385452
-37.  32.4377210
-45.  32.4367790
-60.  32.4354820
-80.  32.4391632
-100.  32.5636101
-120.  32.8527107
-150.  33.3091660
-200.  33.7103844
2014/04/16 12:00:00  14 2
 0.  32.4166183
-10.  32.4233704
-14.  32.4239410
-20.  32.4247971
-25.  32.4249687
-30.  32.4259338
-37.  32.4254372
-45.  32.4248695
-60.  32.4245300
-80.  32.4330025
-100.  32.5989990
-120.  32.9437981
-150.  33.4012642
-200.  33.7059975
2014/05/16 12:00:00  14 2
 0.  32.3921355
-10.  32.4189682
-14.  32.4237030
-20.  32.4308052
-25.  32.4350929
-30.  32.4412575
-37.  32.4460444
-45.  32.4515152
-60.  32.4598732
-80.  32.4937401
-100.  32.8307076
-120.  33.2099075
-150.  33.5808411
-200.  33.7233238
2014/06/16 12:00:00  14 2
 0.  32.3668365
-10.  32.3681679
-14.  32.3672081
-20.  32.3657684
-25.  32.3684349
-30.  32.3705635
-37.  32.4086792
-45.  32.4522400
-60.  32.4765663
-80.  32.5380020
-100.  32.8774338
-120.  33.2281685
-150.  33.6031952
-200.  33.7294006
2014/07/16 12:00:00  14 2
 0.  32.3412895
-10.  32.3360291
-14.  32.3360062
-20.  32.3359718
-25.  32.3382225
-30.  32.3352928
-37.  32.3743553
-45.  32.4643593
-60.  32.5104179
-80.  32.5611000
-100.  32.8733902
-120.  33.2156105
-150.  33.5772247
-200.  33.7301598
2014/08/16 12:00:00  14 2
 0.  32.3128090
-10.  32.3108368
-14.  32.3103989
-20.  32.3097420
-25.  32.3070335
-30.  32.3040962
-37.  32.3614502
-45.  32.4415169
-60.  32.4916763
-80.  32.5662575
-100.  32.7903214
-120.  33.1378059
-150.  33.5170364
-200.  33.7141953
2014/09/16 12:00:00  14 2
 0.  32.3331032
-10.  32.3323021
-14.  32.3317940
-20.  32.3310318
-25.  32.3338661
-30.  32.3314323
-37.  32.3330650
-45.  32.4744987
-60.  32.5449333
-80.  32.6242294
-100.  32.8565025
-120.  33.1929359
-150.  33.5398674
-200.  33.7120323
2014/10/16 12:00:00  14 2
 0.  32.3674202
-10.  32.3674812
-14.  32.3663994
-20.  32.3647766
-25.  32.3646126
-30.  32.3667374
-37.  32.3665810
-45.  32.4372809
-60.  32.5698433
-80.  32.6770325
