  17.0000     7.9802
  20.0000     7.6471
  25.0000     7.5840
  30.0000     7.5105
  32.0000     7.5130
  35.0000     7.5166
  36.0000     7.5178
  37.0000     7.5191
  45.0000     7.2186
  60.0000     6.9510
  80.0000     5.6587
 100.0000     5.4172
 120.0000     5.2167
 150.0000     4.8295
 175.0000     4.5057
 200.0000     4.2985
2010/07/16 02:00:00  22 2
   1.0000    10.3399
   5.0000    10.2127
   8.0000    10.1055
  10.0000    10.0340
  14.0000     9.8696
  15.0000     9.8284
  17.0000     9.7462
  20.0000     9.6704
  25.0000     9.4480
  30.0000     9.1710
  32.0000     9.0368
  35.0000     8.8356
  36.0000     8.7685
  37.0000     8.7014
  45.0000     8.0837
  60.0000     7.2771
  80.0000     5.9796
 100.0000     5.3822
 120.0000     5.2133
 150.0000     4.8020
 175.0000     4.4832
 200.0000     4.2707
2010/08/16 02:00:00  22 2
   1.0000    13.8441
   5.0000    13.7319
   8.0000    13.6006
  10.0000    13.5131
  14.0000    12.9589
  15.0000    12.8204
  17.0000    12.5433
  20.0000    12.0449
  25.0000    10.8083
  30.0000     9.8283
  32.0000     9.5957
  35.0000     9.2468
  36.0000     9.1305
  37.0000     9.0142
  45.0000     8.3468
  60.0000     7.3638
  80.0000     6.3500
 100.0000     5.4944
 120.0000     5.2117
 150.0000     4.7112
 175.0000     4.4126
 200.0000     4.2153
2010/09/16 02:00:00  22 2
   1.0000    13.1935
   5.0000    13.1897
   8.0000    13.1851
  10.0000    13.1820
  14.0000    13.1700
  15.0000    13.1670
  17.0000    13.1610
  20.0000    13.1146
  25.0000    12.7140
  30.0000    11.8499
  32.0000    11.3367
  35.0000    10.5668
  36.0000    10.3101
  37.0000    10.0535
  45.0000     8.5938
  60.0000     7.3038
  80.0000     6.1693
 100.0000     5.3653
 120.0000     5.0026
 150.0000     4.6657
 175.0000     4.3805
 200.0000     4.2070
2010/10/16 02:00:00  22 2
   1.0000    10.2218
   5.0000    10.2249
   8.0000    10.2254
  10.0000    10.2256
  14.0000    10.2246
  15.0000    10.2244
  17.0000    10.2239
  20.0000    10.2216
  25.0000    10.2194
  30.0000    10.2166
  32.0000    10.2138
  35.0000    10.2096
  36.0000    10.2082
  37.0000    10.2068
  45.0000    10.0708
  60.0000     8.4327
  80.0000     6.1044
 100.0000     5.2904
 120.0000     5.0064
 150.0000     4.6825
 175.0000     4.3946
 200.0000     4.2140
2010/11/16 02:00:00  22 2
   1.0000     8.1409
   5.0000     8.1438
   8.0000     8.1446
  10.0000     8.1450
  14.0000     8.1452
  15.0000     8.1452
  17.0000     8.1453
  20.0000     8.1450
  25.0000     8.1452
  30.0000     8.1447
  32.0000     8.1445
  35.0000     8.1442
  36.0000     8.1441
  37.0000     8.1440
  45.0000     8.1439
  60.0000     8.1251
  80.0000     6.7577
 100.0000     5.1977
 120.0000     4.9020
 150.0000     4.5418
 175.0000     4.3053
 200.0000     4.1617
2010/12/16 02:00:00  22 2
   1.0000     6.9338
   5.0000     6.9373
   8.0000     6.9388
  10.0000     6.9398
  14.0000     6.9396
  15.0000     6.9395
  17.0000     6.9395
  20.0000     6.9395
  25.0000     6.9407
  30.0000     6.9409
  32.0000     6.9413
  35.0000     6.9418
  36.0000     6.9420
  37.0000     6.9422
  45.0000     6.9438
  60.0000     6.9450
  80.0000     6.9187
 100.0000     5.2565
 120.0000     4.8888
 150.0000     4.4934
 175.0000     4.2715
 200.0000     4.1351
2011/01/16 02:00:00  22 2
   1.0000     6.0335
   5.0000     6.0351
   8.0000     6.0352
  10.0000     6.0353
  14.0000     6.0354
  15.0000     6.0354
  17.0000     6.0354
  20.0000     6.0355
  25.0000     6.0354
  30.0000     6.0353
  32.0000     6.0355
  35.0000     6.0358
  36.0000     6.0359
  37.0000     6.0360
  45.0000     6.0370
  60.0000     6.0377
  80.0000     6.0235
 100.0000     5.2165
 120.0000     4.8308
 150.0000     4.4853
 175.0000     4.2509
 200.0000     4.1093
2011/02/15 02:00:00  22 2
   1.0000     5.7463
   5.0000     5.7482
   8.0000     5.7482
  10.0000     5.7481
  14.0000     5.7484
  15.0000     5.7485
  17.0000     5.7487
  20.0000     5.7481
  25.0000     5.7477
  30.0000     5.7462
  32.0000     5.7466
